Timestamp;Temperature (°C);Heat (V);Fan (V)
2024-05-21 15:43:46;28,55;1,30368091603053;5
2024-05-21 15:43:46;28,52;1,32123838604144;5
2024-05-21 15:43:47;28,49;1,32123838604144;5
2024-05-21 15:43:47;28,45;1,35085692475464;5
2024-05-21 15:43:48;28,43;1,35085692475464;5
2024-05-21 15:43:48;28,4;1,37501352235551;5
2024-05-21 15:43:49;28,38;1,37501352235551;5
2024-05-21 15:43:49;28,36;1,39198516902944;5
2024-05-21 15:43:50;28,33;1,39198516902944;5
2024-05-21 15:43:50;28,31;1,41757186477645;5
2024-05-21 15:43:51;28,29;1,41757186477645;5
2024-05-21 15:43:51;28,27;1,41757186477645;5
2024-05-21 15:43:52;28,25;1,4342505997819;5
2024-05-21 15:43:52;28,24;1,4342505997819;5
2024-05-21 15:43:53;28,22;1,44029836423119;5
2024-05-21 15:43:53;28,21;1,44029836423119;5
2024-05-21 15:43:54;28,2;1,45151515812432;5
2024-05-21 15:43:54;28,19;1,45151515812432;5
2024-05-21 15:43:55;28,18;1,45151515812432;5
2024-05-21 15:43:55;28,16;1,46790098146129;5
2024-05-21 15:43:56;28,15;1,46790098146129;5
2024-05-21 15:43:56;28,14;1,4894558342421;5
2024-05-21 15:43:57;28,13;1,4894558342421;5
2024-05-21 15:43:57;28,12;1,49865670665213;5
2024-05-21 15:43:58;28,12;1,49865670665213;5
2024-05-21 15:43:58;28,11;1,51130359869139;5
2024-05-21 15:43:59;28,1;1,51130359869139;5
2024-05-21 15:43:59;28,1;1,50987350054525;5
2024-05-21 15:44:00;28,09;1,50987350054525;5
2024-05-21 15:44:00;28,08;1,51016641221374;5
2024-05-21 15:44:01;28,08;1,51016641221374;5
2024-05-21 15:44:01;28,07;1,52970534351145;5
2024-05-21 15:44:02;28,07;1,52970534351145;5
2024-05-21 15:44:03;28,06;1,52970534351145;5
2024-05-21 15:44:03;28,06;1,53516728462378;5
2024-05-21 15:44:04;28,06;1,53516728462378;5
2024-05-21 15:44:04;28,05;1,5248292257361;5
2024-05-21 15:44:05;28,05;1,5248292257361;5
2024-05-21 15:44:05;28,05;1,53201417666303;5
2024-05-21 15:44:06;28,04;1,53201417666303;5
2024-05-21 15:44:06;28,04;1,54092213740458;5
2024-05-21 15:44:07;28,04;1,54092213740458;5
2024-05-21 15:44:07;28,03;1,53403009814613;5
2024-05-21 15:44:08;28,03;1,53403009814613;5
2024-05-21 15:44:08;28,03;1,54466106870229;5
2024-05-21 15:44:09;28,03;1,54466106870229;5
2024-05-21 15:44:09;28,02;1,53949203925845;5
2024-05-21 15:44:10;28,02;1,53949203925845;5
2024-05-21 15:44:10;28,02;1,55184601962923;5
2024-05-21 15:44:11;28,02;1,55184601962923;5
2024-05-21 15:44:11;28,02;1,55184601962923;5
2024-05-21 15:44:12;28,02;1,5484;5
2024-05-21 15:44:12;28,02;1,5484;5
2024-05-21 15:44:13;28,01;1,54495398037078;5
2024-05-21 15:44:13;28,01;1,54495398037078;5
2024-05-21 15:44:14;28,01;1,55903097055616;5
2024-05-21 15:44:14;28,01;1,55903097055616;5
2024-05-21 15:44:15;28,01;1,55730796074155;5
2024-05-21 15:44:15;28,01;1,55730796074155;5
2024-05-21 15:44:16;28,01;1,55558495092693;5
2024-05-21 15:44:16;28,01;1,55558495092693;5
2024-05-21 15:44:17;28,01;1,55386194111232;5
2024-05-21 15:44:17;28,01;1,55386194111232;5
2024-05-21 15:44:18;28,01;1,55213893129771;5
2024-05-21 15:44:18;28,01;1,55213893129771;5
2024-05-21 15:44:19;28,01;1,55213893129771;5
2024-05-21 15:44:19;28,01;1,55041592148309;5
2024-05-21 15:44:20;28;1,55041592148309;5
2024-05-21 15:44:20;28;1,5662159214831;5
2024-05-21 15:44:21;28;1,5662159214831;5
2024-05-21 15:44:22;28;1,5662159214831;5
2024-05-21 15:44:22;28;1,5662159214831;5
2024-05-21 15:44:23;28,01;1,5662159214831;5
2024-05-21 15:44:23;28,01;1,5662159214831;5
2024-05-21 15:44:24;28,01;1,54869291166848;5
2024-05-21 15:44:24;28,01;1,54869291166848;5
2024-05-21 15:44:25;28;1,56449291166848;5
2024-05-21 15:44:25;28;1,56449291166848;5
2024-05-21 15:44:26;28;1,56449291166848;5
2024-05-21 15:44:26;28;1,56449291166848;5
2024-05-21 15:44:27;28;1,56449291166848;5
