Timestamp;Temperature (°C);Heat (V);Fan (V)
07.05.2024 10:50;22,36;0;4,933133463
07.05.2024 10:50;22,35;0;4,933133463
07.05.2024 10:50;22,35;0;4,933133463
07.05.2024 10:50;22,33;0;4,933133463
07.05.2024 10:50;22,32;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,3;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,31;0;4,933133463
07.05.2024 10:50;22,3;0;4,933133463
07.05.2024 10:50;22,3;0;4,933133463
07.05.2024 10:50;22,3;5;4,933133463
07.05.2024 10:50;22,28;5;4,933133463
07.05.2024 10:50;22,27;5;4,933133463
07.05.2024 10:50;22,27;5;4,933133463
07.05.2024 10:50;22,26;0;4,933133463
07.05.2024 10:50;22,26;0;4,933133463
07.05.2024 10:50;22,3;0;4,933133463
07.05.2024 10:50;22,32;0;4,933133463
07.05.2024 10:50;22,41;5;4,933133463
07.05.2024 10:50;22,51;5;4,933133463
07.05.2024 10:50;22,62;5;4,933133463
07.05.2024 10:50;22,74;5;4,933133463
07.05.2024 10:50;22,86;0;4,933133463
07.05.2024 10:50;22,98;0;4,933133463
07.05.2024 10:50;23,14;0;4,933133463
07.05.2024 10:50;23,33;0;4,933133463
07.05.2024 10:50;23,49;5;4,933133463
07.05.2024 10:50;23,66;5;4,933133463
07.05.2024 10:50;23,8;5;4,933133463
07.05.2024 10:50;23,91;5;4,933133463
07.05.2024 10:50;24,18;0;4,933133463
07.05.2024 10:50;24,31;0;4,933133463
07.05.2024 10:50;24,46;0;4,933133463
07.05.2024 10:50;24,62;5;4,933133463
07.05.2024 10:50;24,74;5;4,933133463
07.05.2024 10:50;24,86;5;4,933133463
07.05.2024 10:50;24,98;5;4,933133463
07.05.2024 10:51;25,07;0;4,933133463
07.05.2024 10:51;25,15;0;4,933133463
07.05.2024 10:51;25,24;0;4,933133463
07.05.2024 10:51;25,35;0;4,943326157
07.05.2024 10:51;25,48;5;4,933133463
07.05.2024 10:51;25,58;5;4,933133463
07.05.2024 10:51;25,67;5;4,933133463
07.05.2024 10:51;25,74;5;4,933133463
07.05.2024 10:51;25,81;0;4,933133463
07.05.2024 10:51;25,89;0;4,933133463
07.05.2024 10:51;25,98;0;4,933133463
07.05.2024 10:51;26,11;0;4,933133463
07.05.2024 10:51;26,21;5;4,933133463
07.05.2024 10:51;26,28;5;4,933133463
07.05.2024 10:51;26,36;5;4,933133463
07.05.2024 10:51;26,42;5;4,933133463
07.05.2024 10:51;26,49;0;4,933133463
07.05.2024 10:51;26,56;0;4,933133463
07.05.2024 10:51;26,63;0;4,933133463
07.05.2024 10:51;26,7;0;4,933133463
07.05.2024 10:51;26,78;5;4,933133463
07.05.2024 10:51;26,86;5;4,933133463
07.05.2024 10:51;26,92;5;4,933133463
07.05.2024 10:51;26,98;5;4,933133463
07.05.2024 10:51;27,05;0;4,933133463
07.05.2024 10:51;27,1;0;4,933133463
07.05.2024 10:51;27,16;0;4,933133463
07.05.2024 10:51;27,21;0;4,933133463
07.05.2024 10:51;27,3;5;4,933133463
07.05.2024 10:51;27,38;5;4,933133463
07.05.2024 10:51;27,46;5;4,933133463
07.05.2024 10:51;27,51;5;4,933133463
07.05.2024 10:51;27,55;0;4,933133463
07.05.2024 10:51;27,58;0;4,933133463
07.05.2024 10:51;27,71;0;4,933133463
07.05.2024 10:51;27,77;5;4,933133463
07.05.2024 10:51;27,84;5;4,933133463
07.05.2024 10:51;27,86;5;4,933133463
07.05.2024 10:51;27,89;5;4,933133463
07.05.2024 10:51;27,9;0;4,933133463
07.05.2024 10:51;27,93;0;4,933133463
07.05.2024 10:51;27,97;0;4,933133463
07.05.2024 10:51;28,05;0;4,933133463
07.05.2024 10:51;28,09;5;4,933133463
07.05.2024 10:51;28,14;5;4,933133463
07.05.2024 10:51;28,2;5;4,933133463
07.05.2024 10:51;28,25;5;4,933133463
07.05.2024 10:51;28,3;0;4,933133463
07.05.2024 10:51;28,35;0;4,933133463
07.05.2024 10:51;28,4;0;4,933133463
07.05.2024 10:51;28,45;0;4,933133463
07.05.2024 10:51;28,53;5;4,933133463
07.05.2024 10:51;28,55;5;4,933133463
07.05.2024 10:51;28,62;5;4,933133463
07.05.2024 10:51;28,64;5;4,933133463
07.05.2024 10:51;28,67;0;4,933133463
07.05.2024 10:51;28,68;0;4,933133463
07.05.2024 10:51;28,72;0;4,933133463
07.05.2024 10:51;28,76;0;4,933133463
07.05.2024 10:51;28,82;5;4,933133463
07.05.2024 10:51;28,87;5;4,933133463
07.05.2024 10:51;28,9;5;4,933133463
07.05.2024 10:51;28,93;5;4,933133463
07.05.2024 10:51;28,95;0;4,933133463
07.05.2024 10:51;28,97;0;4,933133463
07.05.2024 10:51;29;0;4,933133463
07.05.2024 10:51;29,05;0;4,933133463
07.05.2024 10:51;29,07;5;4,933133463
07.05.2024 10:51;29,11;5;4,933133463
07.05.2024 10:51;29,14;5;4,933133463
07.05.2024 10:51;29,16;5;4,933133463
07.05.2024 10:51;29,19;0;4,933133463
07.05.2024 10:51;29,2;0;4,933133463
07.05.2024 10:51;29,23;0;4,933133463
07.05.2024 10:51;29,29;5;4,933133463
07.05.2024 10:51;29,33;5;4,933133463
07.05.2024 10:51;29,37;5;4,933133463
07.05.2024 10:51;29,38;5;4,933133463
07.05.2024 10:51;29,38;0;4,943326157
07.05.2024 10:51;29,39;0;4,933133463
07.05.2024 10:51;29,42;0;4,933133463
07.05.2024 10:51;29,44;0;4,933133463
07.05.2024 10:51;29,47;5;4,933133463
07.05.2024 10:51;29,48;5;4,933133463
07.05.2024 10:51;29,52;5;4,933133463
07.05.2024 10:51;29,52;5;4,933133463
07.05.2024 10:51;29,52;0;4,933133463
07.05.2024 10:51;29,53;0;4,933133463
07.05.2024 10:51;29,55;0;4,933133463
07.05.2024 10:51;29,58;0;4,933133463
07.05.2024 10:51;29,62;5;4,933133463
07.05.2024 10:51;29,63;5;4,933133463
07.05.2024 10:51;29,66;5;4,933133463
07.05.2024 10:51;29,69;5;4,933133463
07.05.2024 10:51;29,7;5;4,933133463
07.05.2024 10:51;29,72;0;4,933133463
07.05.2024 10:51;29,75;0;4,933133463
07.05.2024 10:51;29,79;0;4,933133463
07.05.2024 10:51;29,83;0;4,933133463
07.05.2024 10:51;29,85;5;4,933133463
07.05.2024 10:51;29,86;5;4,933133463
07.05.2024 10:51;29,9;5;4,933133463
07.05.2024 10:51;29,93;5;4,933133463
07.05.2024 10:51;29,95;0;4,933133463
07.05.2024 10:51;29,97;0;4,933133463
07.05.2024 10:51;29,98;0;4,933133463
07.05.2024 10:51;30,02;0;4,933133463
07.05.2024 10:51;30,06;5;4,933133463
07.05.2024 10:51;30,09;5;4,933133463
07.05.2024 10:51;30,11;5;4,933133463
07.05.2024 10:51;30,12;5;4,933133463
07.05.2024 10:51;30,12;0;4,933133463
07.05.2024 10:51;30,13;0;4,933133463
07.05.2024 10:51;30,16;0;4,933133463
07.05.2024 10:51;30,2;5;4,933133463
07.05.2024 10:51;30,21;5;4,943326157
07.05.2024 10:51;30,21;5;4,933133463
07.05.2024 10:52;30,18;5;4,933133463
07.05.2024 10:52;30,2;0;4,933133463
07.05.2024 10:52;30,2;0;4,933133463
07.05.2024 10:52;30,21;0;4,933133463
07.05.2024 10:52;30,22;0;4,933133463
07.05.2024 10:52;30,25;5;4,933133463
07.05.2024 10:52;30,27;5;4,933133463
07.05.2024 10:52;30,27;5;4,933133463
07.05.2024 10:52;30,27;5;4,933133463
07.05.2024 10:52;30,27;0;4,933133463
